Match Date,Match Time,TEAM-A,TEAM-B ,Match Venue,Winner
31-Mar-23,7:30 PM,Chennai Super Kings ,Gujarat Titans,Ahmedabad,Gujarat Titans
1-Apr-23,3:30 PM,Punjab Kings ,Kolkata Knight Riders,Mohali,Punjab Kings 
1-Apr-23,7:30 PM,Lucknow Super Giants ,Delhi Capitals,Lucknow,Lucknow Super Giants 
2-Apr-23,3:30 PM,Sunrisers Hyderabad ,Rajasthan Royals,Hyderabad,Rajasthan Royals
2-Apr-23,7:30 PM,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,Royal Challengers Bangalore
3-Apr-23,7:30 PM,Chennai Super Kings ,Lucknow Super Giants,Chennai,Chennai Super Kings 
4-Apr-23,7:30 PM,Delhi Capitals ,Gujarat Titans,Delhi,Gujarat Titans
5-Apr-23,7:30 PM,Punjab Kings ,Rajasthan Royals,Guwahati,Punjab Kings 
6-Apr-23,7:30 PM,Royal Challengers Bangalore ,Kolkata Knight Riders,Kolkata,Kolkata Knight Riders
7-Apr-23,7:30 PM,Lucknow Super Giants ,Sunrisers Hyderabad,Lucknow,Lucknow Super Giants 
8-Apr-23,3:30 PM,Rajasthan Royals ,Delhi Capitals,Guwahati,Rajasthan Royals 
8-Apr-23,7:30 PM,Mumbai Indians ,Chennai Super Kings,Mumbai,Chennai Super Kings
9-Apr-23,3:30 PM,Gujarat Titans ,Kolkata Knight Riders,Ahmedabad,Kolkata Knight Riders
9-Apr-23,7:30 PM,Sunrisers Hyderabad ,Punjab Kings,Hyderabad,Sunrisers Hyderabad 
10-Apr-23,3:30 PM,Royal Challengers Bangalore ,Lucknow Super Giants,Bengaluru,Lucknow Super Giants
11-Apr-23,7:30 PM,Delhi Capitals,Mumbai Indians,Delhi,Mumbai Indians
12-Apr-23,7:30 PM,Chennai Super Kings ,Rajasthan Royals,Chennai,Rajasthan Royals
13-Apr-23,7:30 PM,Punjab Kings ,Gujarat Titans,Mohali,Gujarat Titans
14-Apr-23,7:30 PM,Kolkata Knight Riders ,Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad
15-Apr-23,3:30 PM,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,Royal Challengers Bangalore
15-Apr-23,7:30 PM,Lucknow Super Giants ,Punjab Kings,Lucknow,Punjab Kings
16-Apr-23,3:30 PM,Mumbai Indians,Kolkata Knight Riders,Mumbai,Mumbai Indians
16-Apr-23,7:30 PM,Gujarat Titans,Rajasthan Royals,Ahmedabad,Rajasthan Royals
17-Apr-23,7:30 PM,Royal Challengers Bangalore ,Chennai Super Kings,Bengaluru,Chennai Super Kings
18-Apr-23,7:30 PM,Sunrisers Hyderabad, Mumbai Indians,Hyderabad, Mumbai Indians
19-Apr-23,7:30 PM,Rajasthan Royals,Lucknow Super Giants,Jaipur,Lucknow Super Giants
20-Apr-23,3:30 PM,Punjab Kings ,Royal Challengers Bangalore,Mohali,Royal Challengers Bangalore
20-Apr-23,7:30 PM,Delhi Capitals, Kolkata Knight Riders,Delhi,Delhi Capitals
21-Apr-23,7:30 PM,Chennai Super Kings,Sunrisers Hyderabad,Chennai,Chennai Super Kings
22-Apr-23,3:30 PM,Lucknow Super Giants,Gujarat Titans,Lucknow,Gujarat Titans
22-Apr-23,7:30 PM,Mumbai Indians,Punjab Kings,Mumbai,Punjab Kings
