Batting_position ,BATTING,Team,Match,Match Number ,wicket_type,Runs ,Balls ,M,4s,6s,SR
1,Devon Conway,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,b Mohammed Shami,1,6,-,0,0,16.66
2,Ruturaj Gaikwad,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Shubman Gill b Joseph,92,50,-,4,9,184
3,Moeen Ali,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c †Saha b Rashid Khan,23,17,-,4,1,135.29
4,Ben Stokes,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c †Saha b Rashid Khan,7,6,-,1,0,116.66
5,Ambati Rayudu,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,b Little,12,12,-,0,1,100
6,Shivam Dube,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Rashid Khan b Mohammed Shami,19,18,-,0,1,105.55
7,Ravindra Jadeja,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,c Shankar b Joseph,1,2,-,0,0,50
8,MS Dhoni (c)†,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,not out,14,7,-,1,1,200
9,Mitchell Santner,Chennai Super Kings ,Chennai Super Kings  vs Gujarat Titans,1,not out,1,3,-,0,0,33.33
1,Wriddhiman Saha †,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Dube b Hangargekar,25,16,-,2,2,156.25
2,Shubman Gill,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Gaikwad b Deshpande,63,36,-,6,3,175
3,Sai Sudharsan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c †Dhoni b Hangargekar,22,17,-,3,0,129.41
4,Hardik Pandya (c),Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,b Jadeja,8,11,-,0,0,72.72
5,Vijay Shankar,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,c Santner b Hangargekar,27,21,-,2,1,128.57
6,Rahul Tewatia,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,not out,15,14,-,1,1,107.14
7,Rashid Khan,Gujarat Titans,Chennai Super Kings  vs Gujarat Titans,1,not out,10,3,-,1,1,333.33
1,Prabhsimran Singh,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c †Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66
2,Shikhar Dhawan (c),Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,b Varun,40,29,75,6,0,137.93
3,Bhanuka Rajapaksa,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Singh b Yadav,50,32,47,5,2,156.25
4,Jitesh Sharma †,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Yadav b Southee,21,11,13,1,2,190.9
5,Sikandar Raza,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,c Rana b Narine,16,13,22,1,1,123.07
6,Sam Curran,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,not out,26,17,27,0,2,152.94
7,M Shahrukh Khan,Punjab Kings ,Punjab Kings vs Kolkata Knight Riders ,2,not out,11,7,11,2,0,157.14
1,Mandeep Singh,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Curran b Arshdeep Singh,2,4,7,0,0,50
2,Rahmanullah Gurbaz †,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,b Ellis,22,16,26,3,1,137.5
3,Anukul Roy,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80
4,Venkatesh Iyer,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42
5,Nitish Rana (c),Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Chahar b Sikandar Raza,24,17,23,3,1,141.17
6,Rinku Singh,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Chahar,4,4,5,0,0,100
7,Andre Russell,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,c Sikandar Raza b Curran,35,19,24,3,2,184.21
8,Shardul Thakur,Kolkata Knight Riders ,Punjab Kings vs Kolkata Knight Riders ,2,not out,8,3,8,0,1,266.66
